BCI_CHN,CCI_CHN,CLI_CHN,GDP_CHN,Date,BCI_CHN-1,BCI_CHN-2,BCI_CHN-3,BCI_CHN-6,BCI_CHN-12,CCI_CHN-1,CCI_CHN-2,CCI_CHN-3,CCI_CHN-6,CCI_CHN-12,CLI_CHN-1,CLI_CHN-2,CLI_CHN-3,CLI_CHN-6,CLI_CHN-12,GDP_CHN-1,GDP_CHN-2,GDP_CHN-3,GDP_CHN-6,GDP_CHN-12
99.76984,101.1759,98.4141,99.31998,200102,99.52591,99.06551,98.82942,100.181,100.0406,101.1508,101.1074,101.0429,100.7359,100.1207,98.48384,98.589,98.71975,99.33067,100.1455,99.40094,99.4892,99.57498000000001,99.73686,99.53293000000001
99.46925999999999,101.2316,98.3744,99.21459,200103,99.76984,99.52591,99.06551,99.70965,99.96768,101.1759,101.1508,101.1074,100.8641,100.2227,98.4141,98.48384,98.589,99.09129,100.1057,99.31998,99.40094,99.4892,99.70493,99.57842
98.8626,101.3066,98.33028,99.09009,200104,99.46925999999999,99.76984,99.52591,99.134,99.92882,101.2316,101.1759,101.1508,100.9626,100.3248,98.3744,98.4141,98.48384,98.88001,100.0225,99.21459,99.31998,99.40094,99.64903000000001,99.62764
98.27046,101.3545,98.2607,98.95402,200105,98.8626,99.46925999999999,99.76984,98.82942,99.97787,101.3066,101.2316,101.1759,101.0429,100.4289,98.33028,98.3744,98.4141,98.71975,99.90456999999999,99.09009,99.21459,99.31998,99.57498000000001,99.6766
97.91754,101.4218,98.17578,98.81464,200106,98.27046,98.8626,99.46925999999999,99.06551,100.1402,101.3545,101.3066,101.2316,101.1074,100.5184,98.2607,98.33028,98.3744,98.589,99.75248,98.95402,99.09009,99.21459,99.4892,99.71706
97.73991,101.4777,98.08655999999999,98.67955,200107,97.91754,98.27046,98.8626,99.52591,100.2762,101.4218,101.3545,101.3066,101.1508,100.6163,98.17578,98.2607,98.33028,98.48384,99.55651,98.81464,98.95402,99.09009,99.40094,99.74006
97.65079,101.4287,98.02029,98.55614,200108,97.73991,97.91754,98.27046,99.76984,100.181,101.4777,101.4218,101.3545,101.1759,100.7359,98.08655999999999,98.17578,98.2607,98.4141,99.33067,98.67955,98.81464,98.95402,99.31998,99.73686
97.63091999999999,101.3451,97.9968,98.44874,200109,97.65079,97.73991,97.91754,99.46925999999999,99.70965,101.4287,101.4777,101.4218,101.2316,100.8641,98.02029,98.08655999999999,98.17578,98.3744,99.09129,98.55614,98.67955,98.81464,99.21459,99.70493
97.73053,101.2676,98.03607,98.36063,200110,97.63091999999999,97.65079,97.73991,98.8626,99.134,101.3451,101.4287,101.4777,101.3066,100.9626,97.9968,98.02029,98.08655999999999,98.33028,98.88001,98.44874,98.55614,98.67955,99.09009,99.64903000000001
98.08918,101.2099,98.1388,98.29642,200111,97.73053,97.63091999999999,97.65079,98.27046,98.82942,101.2676,101.3451,101.4287,101.3545,101.0429,98.03607,97.9968,98.02029,98.2607,98.71975,98.36063,98.44874,98.55614,98.95402,99.57498000000001
98.83617,101.1959,98.28924,98.25856999999999,200112,98.08918,97.73053,97.63091999999999,97.91754,99.06551,101.2099,101.2676,101.3451,101.4218,101.1074,98.1388,98.03607,97.9968,98.17578,98.589,98.29642,98.36063,98.44874,98.81464,99.4892
99.73188,101.196,98.4725,98.24381,200201,98.83617,98.08918,97.73053,97.73991,99.52591,101.1959,101.2099,101.2676,101.4777,101.1508,98.28924,98.1388,98.03607,98.08655999999999,98.48384,98.25856999999999,98.29642,98.36063,98.67955,99.40094
100.4672,101.2215,98.69527,98.2446,200202,99.73188,98.83617,98.08918,97.65079,99.76984,101.196,101.1959,101.2099,101.4287,101.1759,98.4725,98.28924,98.1388,98.02029,98.4141,98.24381,98.25856999999999,98.29642,98.55614,99.31998
100.8141,101.2443,98.96072,98.27753,200203,100.4672,99.73188,98.83617,97.63091999999999,99.46925999999999,101.2215,101.196,101.1959,101.3451,101.2316,98.69527,98.4725,98.28924,97.9968,98.3744,98.2446,98.24381,98.25856999999999,98.44874,99.21459
100.9371,101.25200000000001,99.21682,98.33404,200204,100.8141,100.4672,99.73188,97.73053,98.8626,101.2443,101.2215,101.196,101.2676,101.3066,98.96072,98.69527,98.4725,98.03607,98.33028,98.27753,98.2446,98.24381,98.36063,99.09009
101.0458,101.2654,99.44411,98.40318,200205,100.9371,100.8141,100.4672,98.08918,98.27046,101.25200000000001,101.2443,101.2215,101.2099,101.3545,99.21682,98.96072,98.69527,98.1388,98.2607,98.33404,98.27753,98.2446,98.29642,98.95402
101.2724,101.2907,99.6414,98.47851,200206,101.0458,100.9371,100.8141,98.83617,97.91754,101.2654,101.25200000000001,101.2443,101.1959,101.4218,99.44411,99.21682,98.96072,98.28924,98.17578,98.40318,98.33404,98.27753,98.25856999999999,98.81464
101.5628,101.3059,99.80991,98.5619,200207,101.2724,101.0458,100.9371,99.73188,97.73991,101.2907,101.2654,101.25200000000001,101.196,101.4777,99.6414,99.44411,99.21682,98.4725,98.08655999999999,98.47851,98.40318,98.33404,98.24381,98.67955
101.7984,101.3164,99.95921,98.65357,200208,101.5628,101.2724,101.0458,100.4672,97.65079,101.3059,101.2907,101.2654,101.2215,101.4287,99.80991,99.6414,99.44411,98.69527,98.02029,98.5619,98.47851,98.40318,98.2446,98.55614
101.8555,101.3399,100.1115,98.75323,200209,101.7984,101.5628,101.2724,100.8141,97.63091999999999,101.3164,101.3059,101.2907,101.2443,101.3451,99.95921,99.80991,99.6414,98.96072,97.9968,98.65357,98.5619,98.47851,98.27753,98.44874
101.7174,101.3958,100.2759,98.8572,200210,101.8555,101.7984,101.5628,100.9371,97.73053,101.3399,101.3164,101.3059,101.25200000000001,101.2676,100.1115,99.95921,99.80991,99.21682,98.03607,98.75323,98.65357,98.5619,98.33404,98.36063
101.3307,101.4817,100.4433,98.9631,200211,101.7174,101.8555,101.7984,101.0458,98.08918,101.3958,101.3399,101.3164,101.2654,101.2099,100.2759,100.1115,99.95921,99.44411,98.1388,98.8572,98.75323,98.65357,98.40318,98.29642
100.6561,101.55799999999999,100.588,99.06700000000001,200212,101.3307,101.7174,101.8555,101.2724,98.83617,101.4817,101.3958,101.3399,101.2907,101.1959,100.4433,100.2759,100.1115,99.6414,98.28924,98.9631,98.8572,98.75323,98.47851,98.25856999999999
99.96799,101.5428,100.7001,99.16035,200301,100.6561,101.3307,101.7174,101.5628,99.73188,101.55799999999999,101.4817,101.3958,101.3059,101.196,100.588,100.4433,100.2759,99.80991,98.4725,99.06700000000001,98.9631,98.8572,98.5619,98.24381
99.65669,101.1953,100.7841,99.23052,200302,99.96799,100.6561,101.3307,101.7984,100.4672,101.5428,101.55799999999999,101.4817,101.3164,101.2215,100.7001,100.588,100.4433,99.95921,98.69527,99.16035,99.06700000000001,98.9631,98.65357,98.2446
100.045,100.2121,100.8536,99.2895,200303,99.65669,99.96799,100.6561,101.8555,100.8141,101.1953,101.5428,101.55799999999999,101.3399,101.2443,100.7841,100.7001,100.588,100.1115,98.96072,99.23052,99.16035,99.06700000000001,98.75323,98.27753
100.8271,98.61474,100.9048,99.34867,200304,100.045,99.65669,99.96799,101.7174,100.9371,100.2121,101.1953,101.5428,101.3958,101.25200000000001,100.8536,100.7841,100.7001,100.2759,99.21682,99.2895,99.23052,99.16035,98.8572,98.33404
101.6398,97.65228,100.9372,99.41676,200305,100.8271,100.045,99.65669,101.3307,101.0458,98.61474,100.2121,101.1953,101.4817,101.2654,100.9048,100.8536,100.7841,100.4433,99.44411,99.34867,99.2895,99.23052,98.9631,98.40318
102.2397,97.79701,100.9661,99.49552,200306,101.6398,100.8271,100.045,100.6561,101.2724,97.65228,98.61474,100.2121,101.55799999999999,101.2907,100.9372,100.9048,100.8536,100.588,99.6414,99.41676,99.34867,99.2895,99.06700000000001,98.47851
102.649,98.49280999999999,100.9949,99.5777,200307,102.2397,101.6398,100.8271,99.96799,101.5628,97.79701,97.65228,98.61474,101.5428,101.3059,100.9661,100.9372,100.9048,100.7001,99.80991,99.49552,99.41676,99.34867,99.16035,98.5619
102.9055,99.18409,101.0294,99.65571,200308,102.649,102.2397,101.6398,99.65669,101.7984,98.49280999999999,97.79701,97.65228,101.1953,101.3164,100.9949,100.9661,100.9372,100.7841,99.95921,99.5777,99.49552,99.41676,99.23052,98.65357
103.0011,99.67201999999999,101.0738,99.72397,200309,102.9055,102.649,102.2397,100.045,101.8555,99.18409,98.49280999999999,97.79701,100.2121,101.3399,101.0294,100.9949,100.9661,100.8536,100.1115,99.65571,99.5777,99.49552,99.2895,98.75323
102.9745,100.0303,101.1166,99.77956,200310,103.0011,102.9055,102.649,100.8271,101.7174,99.67201999999999,99.18409,98.49280999999999,98.61474,101.3958,101.0738,101.0294,100.9949,100.9048,100.2759,99.72397,99.65571,99.5777,99.34867,98.8572
102.8155,100.2793,101.1539,99.81947,200311,102.9745,103.0011,102.9055,101.6398,101.3307,100.0303,99.67201999999999,99.18409,97.65228,101.4817,101.1166,101.0738,101.0294,100.9372,100.4433,99.77956,99.72397,99.65571,99.41676,98.9631
102.492,100.4724,101.1723,99.84529,200312,102.8155,102.9745,103.0011,102.2397,100.6561,100.2793,100.0303,99.67201999999999,97.79701,101.55799999999999,101.1539,101.1166,101.0738,100.9661,100.588,99.81947,99.77956,99.72397,99.49552,99.06700000000001
102.1084,100.569,101.1568,99.86617,200401,102.492,102.8155,102.9745,102.649,99.96799,100.4724,100.2793,100.0303,98.49280999999999,101.5428,101.1723,101.1539,101.1166,100.9949,100.7001,99.84529,99.81947,99.77956,99.5777,99.16035
101.7937,100.5646,101.1097,99.90138,200402,102.1084,102.492,102.8155,102.9055,99.65669,100.569,100.4724,100.2793,99.18409,101.1953,101.1568,101.1723,101.1539,101.0294,100.7841,99.86617,99.84529,99.81947,99.65571,99.23052
101.6483,100.4352,101.0135,99.9356,200403,101.7937,102.1084,102.492,103.0011,100.045,100.5646,100.569,100.4724,99.67201999999999,100.2121,101.1097,101.1568,101.1723,101.0738,100.8536,99.90138,99.86617,99.84529,99.72397,99.2895
101.6236,100.0606,100.874,99.95812,200404,101.6483,101.7937,102.1084,102.9745,100.8271,100.4352,100.5646,100.569,100.0303,98.61474,101.0135,101.1097,101.1568,101.1166,100.9048,99.9356,99.90138,99.86617,99.77956,99.34867
101.6669,99.4343,100.7207,99.96884,200405,101.6236,101.6483,101.7937,102.8155,101.6398,100.0606,100.4352,100.5646,100.2793,97.65228,100.874,101.0135,101.1097,101.1539,100.9372,99.95812,99.9356,99.90138,99.81947,99.41676
101.7461,98.87686,100.5994,99.97527,200406,101.6669,101.6236,101.6483,102.492,102.2397,99.4343,100.0606,100.4352,100.4724,97.79701,100.7207,100.874,101.0135,101.1723,100.9661,99.96884,99.95812,99.9356,99.84529,99.49552
101.8068,98.69064,100.5213,99.98210999999999,200407,101.7461,101.6669,101.6236,102.1084,102.649,98.87686,99.4343,100.0606,100.569,98.49280999999999,100.5994,100.7207,100.874,101.1568,100.9949,99.97527,99.96884,99.95812,99.86617,99.5777
101.7796,98.70561,100.48100000000001,99.98787,200408,101.8068,101.7461,101.6669,101.7937,102.9055,98.69064,98.87686,99.4343,100.5646,99.18409,100.5213,100.5994,100.7207,101.1097,101.0294,99.98210999999999,99.97527,99.96884,99.90138,99.65571
101.6073,98.87026999999999,100.4571,99.98901,200409,101.7796,101.8068,101.7461,101.6483,103.0011,98.70561,98.69064,98.87686,100.4352,99.67201999999999,100.48100000000001,100.5213,100.5994,101.0135,101.0738,99.98787,99.98210999999999,99.97527,99.9356,99.72397
101.3587,99.11525999999999,100.4243,99.98389,200410,101.6073,101.7796,101.8068,101.6236,102.9745,98.87026999999999,98.70561,98.69064,100.0606,100.0303,100.4571,100.48100000000001,100.5213,100.874,101.1166,99.98901,99.98787,99.98210999999999,99.95812,99.77956
101.1396,99.39108,100.3844,99.9705,200411,101.3587,101.6073,101.7796,101.6669,102.8155,99.11525999999999,98.87026999999999,98.70561,99.4343,100.2793,100.4243,100.4571,100.48100000000001,100.7207,101.1539,99.98389,99.98901,99.98787,99.96884,99.81947
101.08,99.62536,100.3285,99.95087,200412,101.1396,101.3587,101.6073,101.7461,102.492,99.39108,99.11525999999999,98.87026999999999,98.87686,100.4724,100.3844,100.4243,100.4571,100.5994,101.1723,99.9705,99.98389,99.98901,99.97527,99.84529
101.291,99.81132,100.2706,99.9286,200501,101.08,101.1396,101.3587,101.8068,102.1084,99.62536,99.39108,99.11525999999999,98.69064,100.569,100.3285,100.3844,100.4243,100.5213,101.1568,99.95087,99.9705,99.98389,99.98210999999999,99.86617
101.6636,99.97577,100.236,99.90904,200502,101.291,101.08,101.1396,101.7796,101.7937,99.81132,99.62536,99.39108,98.70561,100.5646,100.2706,100.3285,100.3844,100.48100000000001,101.1097,99.9286,99.95087,99.9705,99.98787,99.90138
102.0233,100.1146,100.2448,99.90315,200503,101.6636,101.291,101.08,101.6073,101.6483,99.97577,99.81132,99.62536,98.87026999999999,100.4352,100.236,100.2706,100.3285,100.4571,101.0135,99.90904,99.9286,99.95087,99.98901,99.9356
101.6531,100.1902,100.2824,99.90905,200504,102.0233,101.6636,101.291,101.3587,101.6236,100.1146,99.97577,99.81132,99.11525999999999,100.0606,100.2448,100.236,100.2706,100.4243,100.874,99.90315,99.90904,99.9286,99.98389,99.95812
100.7125,100.1948,100.3346,99.92426,200505,101.6531,102.0233,101.6636,101.1396,101.6669,100.1902,100.1146,99.97577,99.39108,99.4343,100.2824,100.2448,100.236,100.3844,100.7207,99.90905,99.90315,99.90904,99.9705,99.96884
99.98029,100.1966,100.3955,99.95185,200506,100.7125,101.6531,102.0233,101.08,101.7461,100.1948,100.1902,100.1146,99.62536,98.87686,100.3346,100.2824,100.2448,100.3285,100.5994,99.92426,99.90905,99.90315,99.95087,99.97527
99.80666,100.17299999999999,100.4366,99.99342,200507,99.98029,100.7125,101.6531,101.291,101.8068,100.1966,100.1948,100.1902,99.81132,98.69064,100.3955,100.3346,100.2824,100.2706,100.5213,99.95185,99.92426,99.90905,99.9286,99.98210999999999
100.2176,100.1302,100.44,100.0428,200508,99.80666,99.98029,100.7125,101.6636,101.7796,100.17299999999999,100.1966,100.1948,99.97577,98.70561,100.4366,100.3955,100.3346,100.236,100.48100000000001,99.99342,99.95185,99.92426,99.90904,99.98787
100.7746,100.0463,100.4034,100.0921,200509,100.2176,99.80666,99.98029,102.0233,101.6073,100.1302,100.17299999999999,100.1966,100.1146,98.87026999999999,100.44,100.4366,100.3955,100.2448,100.4571,100.0428,99.99342,99.95185,99.90315,99.98901
100.9486,99.9539,100.3594,100.1359,200510,100.7746,100.2176,99.80666,101.6531,101.3587,100.0463,100.1302,100.17299999999999,100.1902,99.11525999999999,100.4034,100.44,100.4366,100.2824,100.4243,100.0921,100.0428,99.99342,99.90905,99.98389
100.8709,99.94355999999999,100.3398,100.169,200511,100.9486,100.7746,100.2176,100.7125,101.1396,99.9539,100.0463,100.1302,100.1948,99.39108,100.3594,100.4034,100.44,100.3346,100.3844,100.1359,100.0921,100.0428,99.92426,99.9705
100.6361,100.0133,100.3521,100.1914,200512,100.8709,100.9486,100.7746,99.98029,101.08,99.94355999999999,99.9539,100.0463,100.1966,99.62536,100.3398,100.3594,100.4034,100.3955,100.3285,100.169,100.1359,100.0921,99.95185,99.95087
100.3795,100.0382,100.3982,100.2094,200601,100.6361,100.8709,100.9486,99.80666,101.291,100.0133,99.94355999999999,99.9539,100.17299999999999,99.81132,100.3521,100.3398,100.3594,100.4366,100.2706,100.1914,100.169,100.1359,99.99342,99.9286
100.6167,99.98454,100.4754,100.2353,200602,100.3795,100.6361,100.8709,100.2176,101.6636,100.0382,100.0133,99.94355999999999,100.1302,99.97577,100.3982,100.3521,100.3398,100.44,100.236,100.2094,100.1914,100.169,100.0428,99.90904
101.3495,99.96514,100.5776,100.2532,200603,100.6167,100.3795,100.6361,100.7746,102.0233,99.98454,100.0382,100.0133,100.0463,100.1146,100.4754,100.3982,100.3521,100.4034,100.2448,100.2353,100.2094,100.1914,100.0921,99.90315
101.8282,99.92926999999999,100.6931,100.2657,200604,101.3495,100.6167,100.3795,100.9486,101.6531,99.96514,99.98454,100.0382,99.9539,100.1902,100.5776,100.4754,100.3982,100.3594,100.2824,100.2532,100.2353,100.2094,100.1359,99.90905
101.4931,99.92465,100.7931,100.2757,200605,101.8282,101.3495,100.6167,100.8709,100.7125,99.92926999999999,99.96514,99.98454,99.94355999999999,100.1948,100.6931,100.5776,100.4754,100.3398,100.3346,100.2657,100.2532,100.2353,100.169,99.92426
100.9611,99.97154,100.8553,100.2879,200606,101.4931,101.8282,101.3495,100.6361,99.98029,99.92465,99.92926999999999,99.96514,100.0133,100.1966,100.7931,100.6931,100.5776,100.3521,100.3955,100.2757,100.2657,100.2532,100.1914,99.95185
100.6338,100.0673,100.8868,100.3085,200607,100.9611,101.4931,101.8282,100.3795,99.80666,99.97154,99.92465,99.92926999999999,100.0382,100.17299999999999,100.8553,100.7931,100.6931,100.3982,100.4366,100.2879,100.2757,100.2657,100.2094,99.99342
100.8637,100.2609,100.9311,100.3448,200608,100.6338,100.9611,101.4931,100.6167,100.2176,100.0673,99.97154,99.92465,99.98454,100.1302,100.8868,100.8553,100.7931,100.4754,100.44,100.3085,100.2879,100.2757,100.2353,100.0428
101.3918,100.5169,101.0299,100.4018,200609,100.8637,100.6338,100.9611,101.3495,100.7746,100.2609,100.0673,99.97154,99.96514,100.0463,100.9311,100.8868,100.8553,100.5776,100.4034,100.3448,100.3085,100.2879,100.2532,100.0921
101.484,100.7074,101.1991,100.4817,200610,101.3918,100.8637,100.6338,101.8282,100.9486,100.5169,100.2609,100.0673,99.92926999999999,99.9539,101.0299,100.9311,100.8868,100.6931,100.3594,100.4018,100.3448,100.3085,100.2657,100.1359
101.4435,100.8668,101.4254,100.5818,200611,101.484,101.3918,100.8637,101.4931,100.8709,100.7074,100.5169,100.2609,99.92465,99.94355999999999,101.1991,101.0299,100.9311,100.7931,100.3398,100.4817,100.4018,100.3448,100.2757,100.169
101.3151,100.9601,101.6667,100.695,200612,101.4435,101.484,101.3918,100.9611,100.6361,100.8668,100.7074,100.5169,99.97154,100.0133,101.4254,101.1991,101.0299,100.8553,100.3521,100.5818,100.4817,100.4018,100.2879,100.1914
